,id,Text,.net,android,asp.net,c,c#,c++,css,html,ios,iphone,java,javascript,jquery,mysql,objective-c,php,python,ruby,ruby-on-rails,sql
30,58,how to reference to multiple version assembly i am developing a sharepoint application and use net ajaxcontroltoolkit library we are adding a custom aspx page to the sharepoint sharepoint 2007 run in quirks mode so i have made some modification to the ajax library to make it behave like it normally should the problem is the other team already use ajax library and it is a different version with mine this cause conflict because there could be only one dll in the bin folder with the same namefrom what i know net should be able to handle this situation easily i have tried using strong name and gac to solve it but it still refer to the dll in the bin folder if there is no ajaxcontroltoolkitdll in the bin folder the application will simply fail to load the assembly if i use complete assembly information on my like this register tagprefixajaxcontroltoolkit namespaceajaxcontroltoolkit assemblyajaxcontroltoolkit version1029918064 publickeytoken12345678abcdefgh cultureneutralit gives me compiler error cs0433can someone help me on how to use multiple version of assembly in an application,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,69,multiple foreign keys i have got a table that is supposed to track days and costs for shipping product from one vendor to another we brilliantly p stored both the shipping vendors fedex ups with the product handling vendors think dunder mifflin in a vendor table so i have three columns in my shipping details table that all reference vendorno for some reason mysql is not letting me define all three as foreign keys any ideascreate table shipping grid id int not null auto increment primary key comment unique id for each row shipping vendor no int6 not null comment foreign key to vendorno for the shipping vendor vendors type must be 3 start vendor no int6 not null comment foreign key to vendorno for the vendor being shipped from end vendor no int6 not null comment foreign key to the vendorno for the vendor being shipped to shipment duration int1 default 1 comment duration in whole days shipment will take price float55 not null comment price in us dollars per shipment lbs down to 5 decimal places is flat rate tinyint1 default 0 comment 1 if is flat rate regardless of weight 0 if price is by lbs index shipping vendor no index start vendor no index end vendor no foreign key shipping vendor no references vendor no foreign key start vendor no references vendor no foreign key end vendor no references vendor no type innodbedited to remove double primary key definitionyeah unfortunately that did not fix it though now i am gettingcannot create table removed my db nameshipping gridfrm errno 150doing a phpinfo tells me this for mysqlclient api version 5045yes the vendorno is type int6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
32,71,net 35 rethistributable 200 mb other options i have been using a lot of new net 35 features in the work that i have been doing lately the application that i am building is intended for thistribution among consumers who will probably not have the latest version or perhaps any version of the net framework on their machinesi went to go download the net 35 rethistributable package only to find out that it is almost 200 mb this is unacceptable for my application because it is supposed to be a quick and painless consumer application that installs quickly and keeps a low profile on the users machine for users that have net 35 already installed our binary downloads have been instantaneous so far this 200 mb gorilla will more than quadruple the size of the download is there any other option than this rethistributable package that i can use to make sure the framework is on the machine that would not take the user out of our quick and painless workflow our target time from beginning of download to finalizing the install is less than two minutes is it just not possible for someone who does not already have net installed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,79,some kind of task manager for javascript in firefox 3 recently i have been having issues with firefox 3 on ubuntu hardy heroni will click on a link and it will hang for a while i do not know if its a bug in firefox 3 or a page running too much client side javascript but i would like to try and debug it a bitso my question is is there a way to have some kind of process explorer or task manager sort of thing for firefox 3i would like to be able to see what tabs are using what percent of my processor via the javascript on that page or anything in the page that is causing cpumemory usage does anybody know of a plugin that does this or something similar has anyone else done this kind of inspection another wayi know about firebug but i cannot imagine how i would use it to finger which tab is using a lot of resourcesany suggestions or insights,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
35,80,packaging java apps for the windowslinux desktop i am writing an application in java for the desktop using the eclipse swt library for gui rendering i think swt helps java get over the biggest hurdle for acceptance on the desktop namely providing a java application with a consistent responsive interface that looks like that belonging to any other app on your desktop however i feel that packaging an application is still an issue os x natively provides an easy mechanism for wrapping java apps in native application bundles but producing an app for windowslinux that does not require the user to run an ugly batch file or click on a jar is still a hassle possibly that is not such an issue on linux where the user is likely to be a little more techsavvy but on windows i would like to have a regular exe for himher to runhas anyone had any experience with any of the exe generation tools for java that are out there i have tried jsmooth but had various issues with it is there a better solution before i crack out visual studio and roll my ownedit i should perhaps mention that i am unable to spend a lot of money on a commercial solution,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
36,81,how do you open a file in c i want to open a file for reading the c way i need to be able to do it fortext files which would involve some sort of read line functionbinary files which would provide a way to read raw data into a char buffer,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,82,how important is w3c xhtmlcss validation when finalizing work even though i always strive for complete validation these days i often wonder if it is a waste of time if the code runs and it looks the same in all browsers i use browsershotsorg to verify then do i need to take it any further or am i just being overly analwhat level do you hold your code to when you create it fora yourselfb your clientsps jeff and company why does not stack overflow validate edit some good insights i think that since i have been so validobsessed for so long i program knowing what will cause problems and what would not so i am in a better position than people who create a site first and then go back and fix the validation problemsi think i may post another question on stack overflow do you validate as you go or do you finish and then go back and validate as that seems to be where this question is going,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38,83,printing from a net service i am working on a project right now that involves receiving a message from another application formatting the contents of that message and sending it to a printer technology of choice is c windows service the output could be called a report i suppose but a reporting engine is not necessary a simple templating engine like stringtemplate or even xslt outputting html would be fine the problem i am having is finding a free way to print this kind of output from a service since it seems that it will work i am working on a prototype using microsofts rdlc populating a local report and then rendering it as an image to a memory stream which i will then print issues with that aremultipage printing will be a big headachestill have to use printdocument to print the memory stream which is unsupported in a windows service though it may work have not gotten that far with the prototype yetif the data coming across changes i have to change the dataset and the class that the data is being deserialized into bad bad badhas anyone had to do anything remotely like this any advice i already posed a question about printing html without user input and after wasting about 3 days on that i have come to the conclusion that it cannot be done at least not with any freely available toolall help is appreciatededit we are on version 20 of the net framework,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,87,best implementation for key value pair data structure so i have been poking around with c a bit lately and all the generic collections have me a little confused say i wanted to represent a data structure where the head of a tree was a key value pair and then there is one optional list of key value pairs below that but no more levels than these would this be suitablepublic class tokentree public tokentree i must admit to not fully understanding this i got it from msdn as far as i can tell idictionary is an interface and dictionary is the default implementation of that interface right subpairs new dictionarystring string public string key public string value public idictionarystring string subpairsit is only really a simple shunt for passing around data,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,100,what are the useful new aspnet features in the net framework 35 i have kept up to date with new features in the c language as it is moved from version 1 through version 3 i have not done such a good job keeping up to date with aspnet i feel like some of the post version 1 features are not so good eg the ajax framework or are just not that useful to me eg the membership framework can anyone recommend any new killer aspnet features that might have gone unnoticed,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,105,asynchronous remoting calls we have a remoting singleton server running in a separate windows service let us call her remotingservice the clients of the remotingservice are aspnet instances many manycurrently the clients remoting call remotingservice and blocks while the remotingservice call is serviced however the remoting service is getting complicated enough with more rpc calls and complex algorithms that the aspnet worker threads are blocked for a significantly long time 45 secondsaccording to this msdn article doing this will not scale well because an aspnet worker thread is blocked for each remoting rpc it advises switching to async handlers to free up aspnet worker threadsthe purpose of an asynchronous handler is to free up an aspnet thread pool thread to service additional requests while the handler is processing the original requestthis seems fine except the remoting call still takes up a thread from the thread poolis this the same thread pool as the aspnet worker threads how should i go about turning my remoting singleton server into an async system such that i free up my aspnet worker threadsi have probably missed out some important information please let me know if there is anything else you need to know to answer the question,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,108,data layer best practices i am in the middle of a thiscussion with a colleague about the best way to implement the data layer in a new applicationone viewpoint is that the data layer should be aware of business objects our own classes that represent an entity and be able to work with that object natively the opposing viewpoint is that the data layer should be objectagnostic and purely handle simple data types strings bools dates etci can see that both approaches may be valid but my own viewpoint is that i prefer the former that way if the data storage medium changes the business layer does not necessarily have to change to accommodate the new data layer it would therefore be a trivial thing to change from a sql data store to a serialized xml filesystem storemy colleagues point of view is that the data layer should not have to know about object definitions and that as long as the data is passed about appropriately that is enough now i know that this is one of those questions that has the potential to start a religious war but i would appreciate any feedback from the community on how you approach such things tia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,110,any good advice on using emacs for c project i am looking for a good article on using emacs as cc idesomething like steve yegges effective emacs,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,111,ikvm and licensing i have been looking into ikvming apache is fop project to use with our net app it is a commercial product and looking into licensing ikvm runs into some sticky areas because of its use of gnu classpath from what i have seen no one can say for sure if this stuff can be used in a commercial product has anyone used ikvm or an ikvmd product in a commercial product heres what i have found so farikvm license page which notes that one dll contains code from other projects their license gplv2 classpath exceptionsaxon for net is generated with ikvm but released under the apache licenseanyone have experience with this,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
49,112,what are the proper permissions for an upload folder with phpapache sorry for the basic question i am a net developer and do not have much experience with lamp setupsi have a php site that will allow uploads to a specific folder i have been told that this folder needs to be owned by the webserver user for the upload process to work so i created the folder and then set permissions as suchchown apacheapache r uploadschmod 755 r uploadsthe only problem now is that the ftp user can not modify the uploaded files at allis there a permission setting that will allow me to still upload files and then modify them later as a user other than the webserver user,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
50,113,how should i unit test a codegenerator this is a difficult and openended question i know but i thought i would throw it to the floor and see if anyone had any interesting suggestionsi have developed a codegenerator that takes our python interface to our c code generated via swig and generates code needed to expose this as webservices when i developed this code i did it using tdd but i have found my tests to be brittle as hell because each test essentially wanted to verify that for a given bit of input code which happens to be a c header i would get a given bit of outputted code i wrote a small engine that reads test definitions from xml input files and generates test cases from these expectationsthe problem is i dread going in to modify the code at all that and the fact that the unit tests themselves are a complex and b brittleso i am trying to think of alternative approaches to this problem and it strikes me i am perhaps tackling it the wrong way maybe i need to focus more on the outcome ie does the code i generate actually run and do what i want it to rather than does the code look the way i want it tohas anyone got any experiences of something similar to this they would care to share,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
51,115,passing more parameters in c function pointers let us say i am creating a chess program i have a functionvoid foreachmove void actionchess move chess game gamewhich will call the function pointer action on each valid move this is all well and good but what if i need to pass more parameters to the action function for examplechess move getnextmovechess game game int depth for each valid move determine how good the move is foreachmovemovehandler gamevoid movehandlerchess move move uh oh now i need the variables game and depth from the above functionredefining the function pointer is not the optimal solution the foreachmove function is versatile and many different places in the code reference it it does not make sense for each one of those references to have to update their function to include parameters that they do not needhow can i pass extra parameters to a function that i am calling through a pointer,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,118,speeding up an aspnet web site or application i have an ajaxnet enabled aspnet 20 web site hosting for both the site and the database are out of my control as is the databases schema in testing on hardware i do control the site performs well however on the clients hardware there are noticeable delays when reloading or changing pages what i would like to do is make my application as compact and speedy as possible when i deliver it one idea is to set expiration dates for all of the sites static resources so they are not recalled on page loads by resources i mean images linked style sheets and javascript source files is there an easy way to do thiswhat other ways are there to optimize a net web siteupdate i have run yslow on the site and the areas where i am getting hit the hardest are in the number of javascript and style sheets being loaded 23 js files and 5 style sheets all but one the main style sheet has been inserted by ajaxnet and asp why so many,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,126,how can i determine the ip of my routergateway in java how can i determine the ip of my routergateway in java i can get my ip easily enough i can get my internet ip using a service on a website but how can i determine my gateways ipthis is somewhat easy in net if you know your way around but how do you do it in java,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
54,127,how do you log errors exceptions in your aspnet apps i am looking for the best way to log errors in an aspnet applicationi want to be able to receive emails when errors occurs in my application with detailed information about the exception and the current requestin my company we used to have our own errormailer catching everything in the globalasax application error it was ok but not very flexible nor configurablewe swithed recently to nlog it is much more configurable we can define different targets for the errors filter them buffer them not tried yet it is a very good improvementbut i thiscovered lately that there is a whole namespace in the net framework for this purpose systemwebmanagement and it can be configured in the healthmonitoring section of webconfighave you ever worked with net health monitoring what is your solution for error loggingthanksvincent,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,129,considering n2 cms but worried about performance is this justified hy does anyone worked with n2 content management systemif yes how does it perform performance wiseunder heavy loadit seems pretty simple and easy to useadrian,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,132,arrays of arrays in java this is a nasty one for me i am a php guy working in java on a jsp project i know how to do what i am attempting through too much code and a complete lack of finesse i would prefer to do it right here is the situationi am writing a small thisplay to show customers what days they can water their lawns based on their watering group abcde and what time of year it is our seasons look like thissummer 51 to 831 spring 31 to 430 fall 91 to 1031winter 1 to 228 an example might beif i am in group a here would be my allowed timeswinter mondays onlyspring tues thurs satsummer any dayfall tues thurs satif i was writing this in php i would use arrays like thismmondayttuesdaytthursday etcscheduleawintermscheduleaspringttsscheduleasummeranyscheduleafallttsschedulebwinterti could make the days arrays arraytuesdaythursdaysaturday etc but it is not necessary for what i am really trying to accomplishi will also need to setup arrays to determine what season i am inseasonssummerstart0501seasonssummerend0801can anyone suggest a really cool way to do this i will have todays date and the group letter i will need to get out of my function a day m or a series of days tts anythanks folks,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
57,134,what is a good way to denormalize a mysql database i have a large database of normalized order data that is becoming very slow to query for reporting many of the queries that i use in reports join five or six tables and are having to examine tens or hundreds of thousands of linesthere are lots of queries and most have been optimized as much as possible to reduce server load and increase speed i think it is time to start keeping a copy of the data in a denormalized formatany ideas on an approach should i start with a couple of my worst queries and go from there,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
58,136,what do ref val and out mean on method parameters i am looking for a clear concise and accurate answer ideally as the actual answer although links to good explanations welcomethis also applies to vbnet but the keywords are different byref and byval,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,143,insert update stored proc on sql server i have written a stored proc that will do an update if a record exists otherwise it will do an insert it looks something like thisupdate mytable set col1col1 col2col2 where ididif rowcount 0insert into mytable col1 col2 values col1 col2my logic behind writing it in this way is that the update will perform an implicit select using the where clause and if that returns 0 then the insert will take placethe alternative to doing it this way would be to do a select and then based on the number of rows returned either do an update or insert this i considered inefficient because if you are to do an update it will cause 2 selects the first explicit select call and the second implicit in the where of the update if the proc were to do an insert then there would be no difference in efficiencyis my logic sound hereis this how you would combine an insert and update into a stored proc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
61,145,speed difference in using inline strings vs concatenation in php5 assume php5 considerphp foo some words case 1 print these are foo case 2 print these are foo case 3 print these are foois there much of a difference between 1 and 2if not what about between 12 and 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
62,156,how best to use file version and assembly version in net there are two version numbers available when building a project file version and assembly version how are you using these numbers keeping them the same autoincrementing one but manually changing the otheralso what about the assemblyinformationalversion attributei would found this support microsoft knowledge base kb article that provided some help how to use assembly version and assembly file version,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,159,how do you create a debug only function that takes a variable argument list like printf i would like to make a debug logging function with the same parameters as printf but one that can be removed by the preprocessor during optimized buildsfor exampledebug printwarning value d 3n valuei have looked at variadic macros but those are not available on all platforms gcc supports them msvc does not,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,163,how do you begin designing a large system it is been mentioned to me that i will be the sole developer behind a large new system among other things i will be designing a ui and database schemai am sure i will receive some guidance but i would like to be able to knock their socks off what can i do in the meantime to prepare and what will i need to keep in mind when i sit down at my computer with the speca few things to keep in mind i am a college student at my first real programming job i will be using java we already have scm set up with automated testing etcso tools are not an issue,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
66,165,read from msg files i need to read from outlook msg file in net without using com api for outlook cos it will not be installed on the machines that my app will run are there any free 3rd party libraries to do that i want to extract from to cc and bcc fields sentreceive date fields would be good if they are also stored in msg files,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,167,how do i convert a string to an enum in c whats the best way to convert a string to an enumeration value in ci have an html select tag containing the values of an enumeration when the page is posted i want to pick up the value which will be in the form of a string and convert it to the enumeration valuein an ideal world i could do something like thisstatusenum mystatus statusenumparseactivebut that is not valid code,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,169,whats the best way to get started with osgi what makes a moduleservicebit of application functionality a particularly good candidate for an osgi module i am interested in using osgi in my applications were a java shop and we use spring pretty extensively so i am leaning toward using spring dynamic modules for osgitm service platforms i am looking for a good way to incorporate a little bit of osgi into an application as a trial has anyone here used this or a similar osgi technology are there any pitfalls nicolas thanks i have seen that one it is a good tutorial but i am looking more for ideas on how to do my first real osgi bundle as opposed to a hello world exampledavid thanks for the link ideally with a greenfield app i would design the whole thing to be dynamic what i am looking for right now though is to introduce it in a small piece of an existing application assuming i can pick any piece of the app what are some factors to consider that would make that piece better or worse as an osgi guinea pig,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
71,175,how do you deal with transportlevel errors in sqlconnection every now and then in a high volume net application you might see this exception when you try to execute a querysystemdatasqlclientsqlexception a transportlevel error has occurred when sending the request to the serveraccording to my research this is something that just happens and not much can be done to prevent it it does not happen as a result of a bad query and generally cannot be duplicated it just crops up maybe once every few days in a busy oltp system when the tcp connection to the database goes bad for some reasoni am forced to detect this error by parsing the exception message and then retrying the entire operation from scratch to include using a new connection none of that is prettyanybody have any alternate solutions,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,182,how do you spawn another process in c how do you run an external program and pass it command line parameters using c if you have to use operating system api include a solution for windows mac and linux,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,183,when to use ilist and when to use list i know that ilist is the interface and list is the concrete type but i still do not know when to use each one what i am doing now is if i do not need the sort or findall methods i use the interface am i right is there a better way to decide when to use the interface or the concrete type,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,184,create an encrypted zip file in python i am creating an zip file with zipfile in python 25 it works ok so farimport zipfile oslocfile testtxtloczip ospathsplitext locfile0 zipzip zipfilezipfile loczip wzipwrite locfilezipclosebut i could not find how to encrypt the files in the zip filei could use system and call pkzip s but i suppose there must be a more pythonic way i am looking for an open source solution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
75,192,select where or is there a way to select data where any one of multiple conditions occur on the same fieldexample i would typically write a statement such asselect from table where field 1 or field 2 or field 3is there a way to instead say something likeselect from table where field 1 2 3any help is appreciated,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
76,199,how do you secure databaseyml within ruby on rails applications databaseyml is a plain text file that stores database credentialswhen i deploy my rails applications i have an after deploy callback in my capistrano recipe that creates a symbolic link within the applications config directory to the databaseyml file the file itself is stored in a separate directory that is outside the standard capistrano releases directory structure i chmod 400 the file so it is only readable by the user who created itis this sufficient to lock it down if not what else do you dois anyone encrypting their databaseyml files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
